Title,Developer,Publisher,Genre,Notes
#KillAllZombies,Beatshapers,Beatshapers (NA/EU) Smartphone Labs (JP),Action,
&: Sora no Mukō de Saki Masuyō ni,Akatsuki Works,5pb.,Visual novel,
10 Second Ninja X,Four Circle Interactive,Curve Digital,Platform,
1001 Spikes,8bits Fanatics,JP : Pikii WW : Nicalis,Platform,
12-ji no Kane to Cinderella,QuinRose,QuinRose,Otome game,
2013: Infected Wars,Action Mobile Games,Action Mobile Games,Third-person shooter,
2064: Read Only Memories,MidBoss,JP : Playism WW : MidBoss,Adventure,
36 Fragments of Midnight,Petite Games,Petite Games,Platform,
3rd Super Robot Wars Z: Jigoku-hen,B.B. Studio,Bandai Namco Games,Tactical role-playing,
3rd Super Robot Wars Z: Rengoku-hen,B.B. Studio,Bandai Namco Games,Tactical role-playing,
3rd Super Robot Wars Z: Tengoku-hen,B.B. Studio,Bandai Namco Entertainment,Tactical role-playing,
5-nin no Koi Prince: Himitsu no Keiyaku Kekkon,Asgard,Asgard,Visual novel,
7'scarlet,Otomate Toybox,JP : Idea Factory WW : Aksys Games,Otome game,
88 Heroes,Bitmap Bureau,Rising Star Games,Action,
99Vidas,QuByte Interactive,QuByte Interactive,Beat 'em up,
@Field,Sonic Powered,Sonic Powered,Sports,
A Boy and His Blob,WayForward Technologies Abstraction Games,Majesco Entertainment,Platform,
A Hole New World,Hidden Trap,Hidden Trap,Platform,
A Rose in the Twilight,Nippon Ichi Software,Nippon Ichi Software,"Adventure, puzzle",
A Virus Named TOM,Misfits Attic,Misfits Attic,Puzzle,
A Winter's Daydream,ebi-hime,Sometimes You,Visual novel,
A-Men,Bloober Team,JP : Kemco WW : Bloober Team,Action-puzzle,
A-Men 2,Bloober Team,Bloober Team,Action-puzzle,
A.W.: Phoenix Festa,A+ Games,Bandai Namco Entertainment,Simulation,
AKB1/149 Ren'ai Sōsenkyo,Artdink,Bandai Namco Games,Dating sim,
AR Combat DigiQ: Tomodachi Sensha-tai,Konami,Konami,Action,
Aabs Animals,Aabs,Aabs,Pet-raising simulation,
Abunai Koi no Sōsashitsu: Eternal Happiness,GignoSystem Japan,Asgard Japan,Otome game,
Accel World vs. Sword Art Online,Artdink,Bandai Namco Entertainment,Role-playing,
Access Denied,Stately Snail,Stately Snail,Action,
