title,developer,publisher,genre,na_date,eu_date,jp_date,au_date,asia_date,kr_date,format,media,notes
#KillAllZombies,Beatshapers,Beatshapers (NA/EU) Smartphone Labs (JP),Action,No,,,,,,,,
&: Sora no Mukō de Saki Masuyō ni,Akatsuki Works,5pb.,Visual novel,Yes,,,,,,,,
10 Second Ninja X,Four Circle Interactive,Curve Digital,Platform,No,,,,,,,,
1001 Spikes,8bits Fanatics,JP : Pikii WW : Nicalis,Platform,Yes,,,,,,,,
12-ji no Kane to Cinderella,QuinRose,QuinRose,Otome game,Yes,,,,,,,,
2013: Infected Wars,Action Mobile Games,Action Mobile Games,Third-person shooter,No,,,,,,,,
2064: Read Only Memories,MidBoss,JP : Playism WW : MidBoss,Adventure,Yes,,,,,,,,
36 Fragments of Midnight,Petite Games,Petite Games,Platform,Yes,,,,,,,,
3rd Super Robot Wars Z: Jigoku-hen,B.B. Studio,Bandai Namco Games,Tactical role-playing,Yes,,,,,,,,
3rd Super Robot Wars Z: Rengoku-hen,B.B. Studio,Bandai Namco Games,Tactical role-playing,Yes,,,,,,,,
3rd Super Robot Wars Z: Tengoku-hen,B.B. Studio,Bandai Namco Entertainment,Tactical role-playing,Yes,,,,,,,,
5-nin no Koi Prince: Himitsu no Keiyaku Kekkon,Asgard,Asgard,Visual novel,No,,,,,,,,
7'scarlet,Otomate Toybox,JP : Idea Factory WW : Aksys Games,Otome game,No,,,,,,,,
88 Heroes,Bitmap Bureau,Rising Star Games,Action,No,,,,,,,,
99Vidas,QuByte Interactive,QuByte Interactive,Beat 'em up,Yes,,,,,,,,
@Field,Sonic Powered,Sonic Powered,Sports,No,,,,,,,,
A Boy and His Blob,WayForward Technologies Abstraction Games,Majesco Entertainment,Platform,Yes,,,,,,,,
A Hole New World,Hidden Trap,Hidden Trap,Platform,Yes,,,,,,,,
A Rose in the Twilight,Nippon Ichi Software,Nippon Ichi Software,"Adventure, puzzle",Yes,,,,,,,,
A Virus Named TOM,Misfits Attic,Misfits Attic,Puzzle,No,,,,,,,,
A Winter's Daydream,ebi-hime,Sometimes You,Visual novel,No,,,,,,,,
A-Men,Bloober Team,JP : Kemco WW : Bloober Team,Action-puzzle,North America only,,,,,,,,
A-Men 2,Bloober Team,Bloober Team,Action-puzzle,No,,,,,,,,
A.W.: Phoenix Festa,A+ Games,Bandai Namco Entertainment,Simulation,Yes,,,,,,,,
AKB1/149 Ren'ai Sōsenkyo,Artdink,Bandai Namco Games,Dating sim,Yes,,,,,,,,
AR Combat DigiQ: Tomodachi Sensha-tai,Konami,Konami,Action,No,,,,,,,,
Aabs Animals,Aabs,Aabs,Pet-raising simulation,No,,,,,,,,
Abunai Koi no Sōsashitsu: Eternal Happiness,GignoSystem Japan,Asgard Japan,Otome game,No,,,,,,,,
Accel World vs. Sword Art Online,Artdink,Bandai Namco Entertainment,Role-playing,Yes,,,,,,,,
Access Denied,Stately Snail,Stately Snail,Action,No,,,,,,,,
Active Neurons,Sometimes You,Sometimes You,Action,No,,,,,,,,
Active Soccer 2 DX,The Fox Software,The Fox Software,Sports,Yes,,,,,,,,
Actual Sunlight,Will O'Neill,WZO Games,Role-playing,No,,,,,,,,
Adventure Time: The Secret of the Nameless Kingdom,WayForward Technologies,JP : Bergsala WW : Little Orbit,Action-adventure,Yes,,,,,,,,
Adventures of Mana,Square Enix,Square Enix,Role-playing,No,,,,,,,,
Aegis of Earth: Protonovus Assault,Acquire,JP : Acquire NA : Aksys Games EU : PQube,Tower defense,No,,,,,,,,
Aerial Life,Entergram,Entergram,Visual novel,Yes,,,,,,,,
AeternoBlade,CoreCell Technology,Arc System Works,Action,Yes,,,,,,,,
Age of Zombies,Halfbrick Studios BlitWorks,Halfbrick Studios,Action-adventure,No,,,,,,,,
Ai Kiss,Giga,Entergram,Visual novel,Yes,,,,,,,,
Air,Key,Prototype,Visual novel,Yes,,,,,,,,
Air Race Speed,Qubic Games,Circle Entertainment,Racing,Yes,,,,,,,,
Airship Q,Miracle Positive,Cygames Sony Computer Entertainment,Action-adventure sandbox,Yes,,,,,,,,
Aiyoku no Eustia: Angel's Blessing,August,Dramatic Create,Visual novel,Yes,,,,,,,,
Akai Suna Ochiru Tsuki,Landkarte,Dramatic Create,Otome game Role-playing,Yes,,,,,,,,
Akiba's Beat,Acquire,JP : Acquire NA : Xseed Games EU : PQube,Action role-playing,No,,,,,,,,
Akiba's Trip: Undead & Undressed,Acquire,JP : Acquire NA : Marvelous USA EU : NIS America,Action-adventure,Yes,,,,,,,,
Alia's Carnival: Sacrament,NanaWind,Dramatic Create,Visual novel,Yes,,,,,,,,
Alien Breed,Team17,Team17,Action,Yes,,,,,,,,
Alien Shooter,Sigma Team,4 Hit,Shooter,Yes,,,,,,,,
Alone with You,Benjamin Rivers,Benjamin Rivers,Exploration,No,,,,,,,,
Alphaset by POWGI,Lightwood Games,Lightwood Games,Puzzle,No,,,,,,,,
Alteric,Goonswarm Sometimes You,Sometimes You,Platform,Yes,,,,,,,,
Alvastia Chronicles,Kemco,Kemco,Role-playing,No,,,,,,,,
Amaekata wa Kanojo Nari ni,Giga,Entergram,Visual novel,Yes,,,,,,,,
Amagami EbiKore+,Kadokawa Games,Kadokawa Games,"Dating sim, mahjong game",No,,,,,,,,
Amamane,Giga,Entergram,Visual novel,Yes,,,,,,,,
Amatsumi Sora ni! Kumo no Hatate ni,Clochette,Prototype,Visual novel,No,,,,,,,,
Amatsutsumi,Prototype,Prototype,Visual novel,No,,,,,,,,
Amenity's Life,Hooksoft,Piacci,Visual novel,Yes,,,,,,,,
Amnesia Later X Crowd V Edition,Otomate Design Factory,Idea Factory,Otome game,Yes,,,,,,,,
Amnesia World,Otomate Design Factory,Idea Factory,Otome game,Yes,,,,,,,,
Amnesia World AR,Otomate Design Factory,Idea Factory,Application,Yes,,,,,,,,
Amnesia: Memories,Otomate Design Factory,Idea Factory,Otome game,Yes,,,,,,,,
Anata no Shikihime Kyouikutan,Nippon Ichi Software,Nippon Ichi Software,Action role-playing,Yes,,,,,,,,
Angelique Retour,Ruby Party,Koei Tecmo,Dating sim,Yes,,,,,,,,
Angry Birds Star Wars,Rovio Entertainment Exient Entertainment,Activision,Puzzle,Yes,,,,,,,,
Angry Birds Trilogy,Rovio Entertainment Exient Entertainment,Activision,Puzzle,Yes,,,,,,,,
Ano Ko wa Ore kara Hanarenai,Giga,Entergram,Visual novel,Yes,,,,,,,,
Another World: 20th Anniversary Edition,The Digital Lounge,The Digital Lounge,Platform action-adventure,Yes,,,,,,,,
Antiquia Lost,Exe Create,Kemco,Role-playing,Yes,,,,,,,,
Ao no Kanata no Four Rhythm,Sprite,Piacci,Visual novel,Yes,,,,,,,,
Aoki Tsubasa no Chevalier,Experience Inc.,Experience Inc.,Role-playing,No,,,,,,,,
Aonatsu Line,Giga,Entergram,Visual Novel,Yes,,,,,,,,
Aqua Kitty: Milk Mine Defender DX,Tikipod,JP : Playism WW : Midboss,Shoot 'em up,Yes,,,,,,,,
Ar Nosurge Plus,Gust Co. Ltd.,Koei Tecmo,Role-playing,Yes,,,,,,,,
Arcana Famiglia: La storia della Arcana Famiglia Ancora,HuneX,Comfort,Otome game,Yes,,,,,,,,
Arcana Heart 3: Love Max!!!!!,Examu,EU : NIS America WW : Arc System Works,Fighting,Yes,,,,,,,,
